"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1577.22884277344
"FDW14","OUT017",1340.3047265625
"NCN55","OUT010",674.748460693359
"FDQ58","OUT017",2480.60666503906
"FDY38","OUT027",6188.9009375
"FDH56","OUT046",1883.51616943359
"FDL48","OUT018",618.752521972656
"FDC48","OUT027",2107.00653076172
"FDN33","OUT045",1511.52682373047
"FDA36","OUT017",3032.87943847656
"FDT44","OUT017",1900.2031640625
"FDQ56","OUT045",1365.4617578125
"NCC54","OUT019",664.965030517578
"FDU11","OUT049",2065.17331787109
"DRL59","OUT013",799.161931152344
"FDM24","OUT049",2419.83127441406
"FDI57","OUT045",3083.96579101563
"DRC12","OUT018",2752.41480957031
"NCM42","OUT027",2834.73473632813
"FDA46","OUT010",504.895328979492
"FDA31","OUT013",2764.83455566406
"NCJ31","OUT035",3645.17739257812
"FDG52","OUT046",799.009718017578
"NCL19","OUT019",445.669735107422
"FDS10","OUT035",3041.26998046875
"FDX22","OUT010",632.88712890625
"NCF19","OUT035",832.716318359375
"NCE06","OUT046",2502.56540039063
"DRC27","OUT046",3593.80784667969
"FDE21","OUT035",2017.72984619141
"NCR42","OUT019",8.59000492632389
"FDX51","OUT018",2824.63920410156
"NCR06","OUT018",571.837827758789
"FDU31","OUT027",5479.04517578125
"FDU59","OUT017",2513.63568847656
"FDR03","OUT027",5084.81887695313
"FDS49","OUT027",2247.95704589844
"FDD48","OUT010",287.215841674805
"NCF18","OUT017",3073.82143066406
"NCD43","OUT027",2607.64160644531
"NCD54","OUT018",1816.31341552734
"FDY19","OUT010",249.984293212891
"NCY54","OUT017",2835.59615722656
"NCL19","OUT018",2187.82002929687
"FDP23","OUT010",522.326366577148
"FDC26","OUT013",1767.83166259766
"FDR14","OUT010",177.651453857422
"NCS41","OUT035",3201.6560546875
"FDF41","OUT035",3920.31901855469
"FDU34","OUT046",2035.49086181641
"DRH11","OUT046",927.072094726562
"FDM03","OUT013",1673.59069091797
"FDS31","OUT017",3091.942890625
"FDJ20","OUT017",1970.06146240234
"FDV44","OUT027",5136.37024414062
"FDG02","OUT049",3009.32962402344
"FDA09","OUT013",3072.55251464844
"FDT04","OUT013",649.75123046875
"FDL58","OUT019",613.547532958984
"FDE52","OUT045",1408.52910888672
"FDW12","OUT035",2497.20481445312
"FDL51","OUT017",3406.91194335938
"NCY42","OUT027",3369.21499511719
"FDR07","OUT017",1620.38965820313
"FDN40","OUT045",2330.97345703125
"FDB35","OUT027",2438.9972265625
"FDA22","OUT017",2628.77361816406
"NCL06","OUT046",4024.314765625
"FDI35","OUT013",3128.35430664063
"NCW42","OUT045",3599.54085449219
"NCX06","OUT049",3086.953203125
"FDC37","OUT027",2633.64427734375
"FDZ14","OUT018",1773.88017089844
"DRG49","OUT049",4031.30255859375
"NCG06","OUT045",3655.95629394531
"DRC36","OUT045",2724.54499023437
"FDV21","OUT019",450.157487182617
"FDB53","OUT046",2431.65482421875
"DRP47","OUT019",690.206326904297
"FDA14","OUT013",2401.08804199219
"DRC24","OUT035",2492.43935546875
"FDW21","OUT018",1553.65167480469
"NCH29","OUT046",1620.40279541016
"FDU58","OUT013",3101.1632421875
"FDY27","OUT017",2871.4792578125
"FDV56","OUT035",1722.21983886719
"FDT59","OUT046",3912.22830566406
"FDB23","OUT046",3305.93377441406
"FDR49","OUT045",768.99896484375
"FDB03","OUT010",582.519310913086
"FDN39","OUT045",2585.5106640625
"FDX02","OUT027",5843.50435546875
"FDQ16","OUT027",2719.95995117188
"FDU35","OUT018",1421.01833251953
"NCT29","OUT013",1996.40901367188
"FDZ27","OUT046",788.259932861328
"FDN57","OUT017",2092.35922851563
"FDA03","OUT018",2147.93502441406
"FDZ36","OUT045",3159.45192382813
"NCU05","OUT013",1223.8341796875
"FDT39","OUT018",2167.23719726563
"FDK60","OUT017",1550.43401855469
"FDZ25","OUT017",2840.63090332031
"FDG12","OUT046",2076.38211425781
"DRB01","OUT019",422.322117919922
"NCC43","OUT027",6346.83200195312
"FDX13","OUT019",765.943825683594
"FDM22","OUT049",886.628955078125
"FDJ03","OUT027",1392.97218994141
"FDU14","OUT018",3638.23089355469
"FDB33","OUT010",449.509592285156
"FDP27","OUT046",3117.94998535156
"FDO38","OUT010",238.555146789551
"FDE28","OUT027",5894.39948242188
"FDO27","OUT035",1552.18072021484
"DRL23","OUT027",2490.03098144531
"FDS28","OUT046",919.237829589844
"FDX24","OUT013",1445.15509521484
"FDZ02","OUT035",1558.92995117188
"FDL46","OUT045",1813.40214355469
"FDS60","OUT027",4634.2537109375
"NCO06","OUT017",609.802955322266
"FDO16","OUT035",1551.69303466797
"FDC60","OUT049",1532.77798339844
"FDA48","OUT018",3222.35512695312
"FDZ36","OUT027",5102.38426757813
"FDK27","OUT045",1975.82017089844
"FDW23","OUT018",550.256632080078
"FDM14","OUT018",1502.77797851562
"FDM14","OUT013",1663.90194580078
"FDW60","OUT018",2624.79031738281
"FDE21","OUT013",1939.07061523438
"NCM42","OUT035",1742.0644140625
"FDY59","OUT010",216.336441040039
"DRI49","OUT049",1288.09182861328
"FDT28","OUT019",369.410671386719
"FDQ22","OUT018",494.757221069336
"FDR60","OUT049",1285.42595703125
"FDC50","OUT019",299.577666320801
"FDV24","OUT013",2325.72385253906
"DRF48","OUT010",539.790430908203
"FDQ47","OUT046",674.085434570312
"DRN36","OUT049",1531.54340087891
"NCY06","OUT035",2150.60940429687
"FDE52","OUT035",1471.29607177734
"NCB54","OUT045",1986.30453125
"NCF31","OUT035",2452.00787109375
"FDJ08","OUT027",4875.147109375
"NCC07","OUT017",1654.76287109375
"NCD19","OUT027",1637.80560302734
"FDL46","OUT049",1892.78195800781
"FDM20","OUT045",3941.57684570312
"NCI06","OUT010",496.743048095703
"DRM11","OUT035",4220.46720703125
"NCH07","OUT018",2307.17036132813
"FDS23","OUT013",2047.64617675781
"FDO49","OUT018",607.547229003906
"FDS35","OUT049",1086.76262207031
"DRK39","OUT045",1304.00841552734
"DRI39","OUT049",934.648455810547
"FDV04","OUT017",2498.28501464844
"NCN14","OUT035",3124.24049804688
"FDH08","OUT013",4077.35330566406
"FDS20","OUT046",3196.92541015625
"FDV40","OUT049",1157.16313964844
"FDZ48","OUT010",249.049674072266
"FDS24","OUT027",2313.478515625
"FDK44","OUT049",2841.02246582031
"FDS48","OUT045",2442.27931152344
"FDK26","OUT010",579.827012939453
"FDD23","OUT045",3212.16573730469
"NCH54","OUT017",2619.1099609375
"NCP14","OUT010",286.007952270508
"FDM60","OUT010",69.6920265960693
"FDV24","OUT017",2350.09646484375
"FDH08","OUT018",3353.25106933594
"FDS12","OUT027",3192.93589355469
"FDR39","OUT027",4909.48282226563
"FDP12","OUT027",1022.6241784668
"DRF60","OUT027",5901.27497070313
"FDC09","OUT035",1737.13909912109
"FDF50","OUT018",2904.58149902344
"FDG28","OUT035",4023.05625976562
"NCE19","OUT017",874.519041748047
"NCM53","OUT010",253.085494689941
"NCN18","OUT049",1790.016015625
"FDF32","OUT035",3256.30693847656
"FDF11","OUT013",4029.66956054687
"DRI59","OUT049",3835.52884277344
"NCG54","OUT035",2801.06937988281
"FDM44","OUT046",1656.93193847656
"FDT57","OUT018",3306.54431640625
"FDV24","OUT046",2370.77297851562
"FDI50","OUT019",737.55826171875
"FDS09","OUT035",853.055051269531
"NCC31","OUT027",3938.26610839844
"FDQ07","OUT019",584.771439819336
"FDC22","OUT017",3112.07754882813
"FDZ56","OUT046",2785.62111816406
"FDZ40","OUT019",168.897680969238
"FDS46","OUT027",3009.61910644531
"DRD24","OUT045",2101.01930419922
"FDV45","OUT017",3200.87454101562
"FDL26","OUT045",2444.37211425781
"FDA56","OUT018",1753.04385253906
"FDN27","OUT046",1734.56167236328
"FDM20","OUT049",4046.16477539062
"FDO16","OUT017",1491.33480712891
"FDL03","OUT035",3182.83039550781
"FDE58","OUT046",1916.03320556641
"FDI02","OUT027",3023.68563964844
"NCC55","OUT019",62.7262424850464
"FDR03","OUT018",2931.90829589844
"FDB14","OUT017",1504.21787841797
"FDR45","OUT013",3941.05668945312
"NCN07","OUT017",2128.58899902344
"FDM51","OUT019",340.231286621094
"FDT52","OUT027",6326.95624023438
"FDL26","OUT046",2449.49314941406
"NCZ42","OUT046",4134.46841796875
"DRI47","OUT019",420.725299072266
"FDW40","OUT013",2154.85682617188
"FDN34","OUT046",2784.69154296875
"FDS01","OUT035",2941.56561523437
"NCG55","OUT045",1874.70423828125
"FDC11","OUT035",1379.09231689453
"FDX35","OUT018",3292.21131835938
"NCB06","OUT046",2567.52176269531
"FDR09","OUT019",646.363193359375
"FDC53","OUT017",1568.55186767578
"FDY45","OUT013",4151.64305664063
"FDA22","OUT010",412.591577148438
"FDE02","OUT035",1569.77119140625
"FDW21","OUT045",1707.54721191406
"FDV34","OUT046",1126.31955810547
"FDS59","OUT049",1727.16590820312
"NCW17","OUT017",2197.51635742188
"NCK54","OUT046",1921.37970703125
"FDG17","OUT019",677.56587890625
"FDG35","OUT017",2715.81529785156
"FDD08","OUT010",52.3896335458755
"NCO07","OUT017",3567.51488769531
