"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1500.73522949219
"FDW14","OUT017",1224.06237792969
"NCN55","OUT010",798.449462890625
"FDQ58","OUT017",2403.16577148438
"FDY38","OUT027",6208.28125
"FDH56","OUT046",1900.66784667969
"FDL48","OUT018",508.871032714844
"FDC48","OUT027",1959.33032226562
"FDN33","OUT045",1347.98913574219
"FDA36","OUT017",2675.31762695312
"FDT44","OUT017",1875.05615234375
"FDQ56","OUT045",1459.84143066406
"NCC54","OUT019",770.039245605469
"FDU11","OUT049",2006.01623535156
"DRL59","OUT013",944.683166503906
"FDM24","OUT049",2350.25170898438
"FDI57","OUT045",3285.26147460938
"DRC12","OUT018",2964.25561523438
"NCM42","OUT027",3010.43188476562
"FDA46","OUT010",458.455017089844
"FDA31","OUT013",2746.798828125
"NCJ31","OUT035",3518.23657226562
"FDG52","OUT046",796.508056640625
"NCL19","OUT019",377.060089111328
"FDS10","OUT035",2955.48413085938
"FDX22","OUT010",576.263427734375
"NCF19","OUT035",818.633483886719
"NCE06","OUT046",2422.2587890625
"DRC27","OUT046",3579.0869140625
"FDE21","OUT035",2207.47119140625
"NCR42","OUT019",9.99370384216309
"FDX51","OUT018",2724.60034179688
"NCR06","OUT018",610.788818359375
"FDU31","OUT027",5156.38525390625
"FDU59","OUT017",2342.51293945312
"FDR03","OUT027",4993.28271484375
"FDS49","OUT027",2326.81591796875
"FDD48","OUT010",334.468658447266
"NCF18","OUT017",3118.0966796875
"NCD43","OUT027",2371.28930664062
"NCD54","OUT018",1715.0087890625
"FDY19","OUT010",216.988784790039
"NCY54","OUT017",2651.11572265625
"NCL19","OUT018",2101.71923828125
"FDP23","OUT010",649.456848144531
"FDC26","OUT013",1760.90209960938
"FDR14","OUT010",128.662841796875
"NCS41","OUT035",3207.142578125
"FDF41","OUT035",3822.70361328125
"FDU34","OUT046",2130.56811523438
"DRH11","OUT046",914.2685546875
"FDM03","OUT013",1743.08056640625
"FDS31","OUT017",3318.88818359375
"FDJ20","OUT017",1962.84423828125
"FDV44","OUT027",4519.15771484375
"FDG02","OUT049",2989.58740234375
"FDA09","OUT013",3613.53100585938
"FDT04","OUT013",615.837585449219
"FDL58","OUT019",559.44580078125
"FDE52","OUT045",1444.73937988281
"FDW12","OUT035",2538.48608398438
"FDL51","OUT017",3373.69604492188
"NCY42","OUT027",3004.33740234375
"FDR07","OUT017",1509.64636230469
"FDN40","OUT045",2144.36328125
"FDB35","OUT027",2516.70556640625
"FDA22","OUT017",2596.54760742188
"NCL06","OUT046",4409.38671875
"FDI35","OUT013",3324.49853515625
"NCW42","OUT045",3926.46240234375
"NCX06","OUT049",3069.30517578125
"FDC37","OUT027",2493.36181640625
"FDZ14","OUT018",1782.20727539062
"DRG49","OUT049",4618.33544921875
"NCG06","OUT045",3253.8203125
"DRC36","OUT045",2466.75415039062
"FDV21","OUT019",483.605590820312
"FDB53","OUT046",2651.63427734375
"DRP47","OUT019",576.768188476562
"FDA14","OUT013",2291.14379882812
"DRC24","OUT035",2521.31665039062
"FDW21","OUT018",1487.27111816406
"NCH29","OUT046",1787.04565429688
"FDU58","OUT013",3221.82202148438
"FDY27","OUT017",2752.34204101562
"FDV56","OUT035",1594.447265625
"FDT59","OUT046",4114.19677734375
"FDB23","OUT046",2744.04614257812
"FDR49","OUT045",855.660339355469
"FDB03","OUT010",481.193878173828
"FDN39","OUT045",2570.88891601562
"FDX02","OUT027",6079.24169921875
"FDQ16","OUT027",2728.51245117188
"FDU35","OUT018",1525.43505859375
"NCT29","OUT013",1834.11291503906
"FDZ27","OUT046",753.593933105469
"FDN57","OUT017",2116.52026367188
"FDA03","OUT018",2050.18334960938
"FDZ36","OUT045",3464.45263671875
"NCU05","OUT013",1134.41943359375
"FDT39","OUT018",2368.2880859375
"FDK60","OUT017",1571.00805664062
"FDZ25","OUT017",3071.9091796875
"FDG12","OUT046",2478.2177734375
"DRB01","OUT019",475.524566650391
"NCC43","OUT027",6968.826171875
"FDX13","OUT019",667.745727539062
"FDM22","OUT049",911.317932128906
"FDJ03","OUT027",1359.81652832031
"FDU14","OUT018",3603.74951171875
"FDB33","OUT010",431.334533691406
"FDP27","OUT046",3254.4462890625
"FDO38","OUT010",273.817199707031
"FDE28","OUT027",6464.73291015625
"FDO27","OUT035",1504.798828125
"DRL23","OUT027",2283.54223632812
"FDS28","OUT046",810.857116699219
"FDX24","OUT013",1289.41149902344
"FDZ02","OUT035",1471.72448730469
"FDL46","OUT045",1539.64392089844
"FDS60","OUT027",4014.05224609375
"NCO06","OUT017",467.065002441406
"FDO16","OUT035",1788.99670410156
"FDC60","OUT049",1657.33557128906
"FDA48","OUT018",3424.869140625
"FDZ36","OUT027",5280.74658203125
"FDK27","OUT045",1890.26940917969
"FDW23","OUT018",552.229797363281
"FDM14","OUT018",1509.75219726562
"FDM14","OUT013",1543.3603515625
"FDW60","OUT018",2551.1142578125
"FDE21","OUT013",2020.43896484375
"NCM42","OUT035",1827.59216308594
"FDY59","OUT010",214.430679321289
"DRI49","OUT049",1308.82751464844
"FDT28","OUT019",315.815124511719
"FDQ22","OUT018",429.278869628906
"FDR60","OUT049",1162.17907714844
"FDC50","OUT019",375.141082763672
"FDV24","OUT013",2312.541015625
"DRF48","OUT010",409.635314941406
"FDQ47","OUT046",754.41015625
"DRN36","OUT049",1545.56164550781
"NCY06","OUT035",2327.75708007812
"FDE52","OUT035",1464.74108886719
"NCB54","OUT045",1712.21179199219
"NCF31","OUT035",2296.55517578125
